query,response,intent
how many libraries,"There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>",library
how is college infrastructure,Our University has Excellent Infrastructure. Campus is clean. Good IT Labs With Good Speed of Internet connection,infrastructure
infrastructure,Our University has Excellent Infrastructure. Campus is clean. Good IT Labs With Good Speed of Internet connection,infrastructure
college infrastructure,Our University has Excellent Infrastructure. Campus is clean. Good IT Labs With Good Speed of Internet connection,infrastructure
food facilities,Our university has canteen with variety of food available,canteen
canteen facilities,Our university has canteen with variety of food available,canteen
canteen facility,Our university has canteen with variety of food available,canteen
is there any canteen,Our university has canteen with variety of food available,canteen
is there a cafetaria in college,Our university has canteen with variety of food available,canteen
does college have canteen,Our university has canteen with variety of food available,canteen
where is canteen,Our university has canteen with variety of food available,canteen
where is cafetaria,Our university has canteen with variety of food available,canteen
canteen,Our university has canteen with variety of food available,canteen
food,Our university has canteen with variety of food available,canteen
cafetaria,Our university has canteen with variety of food available,canteen
food menu,"we serve Franky, Locho, Alu-puri, Kachori, Khavsa, Thaali and many more on menu",menu
food in canteen,"we serve Franky, Locho, Alu-puri, Kachori, Khavsa, Thaali and many more on menu",menu
whats there on menu,"we serve Franky, Locho, Alu-puri, Kachori, Khavsa, Thaali and many more on menu",menu
what is available in college canteen,"we serve Franky, Locho, Alu-puri, Kachori, Khavsa, Thaali and many more on menu",menu
what foods can we get in college canteen,"we serve Franky, Locho, Alu-puri, Kachori, Khavsa, Thaali and many more on menu",menu
food variety,"we serve Franky, Locho, Alu-puri, Kachori, Khavsa, Thaali and many more on menu",menu
what is there to eat?,"we serve Franky, Locho, Alu-puri, Kachori, Khavsa, Thaali and many more on menu",menu
what is college placement,"To know about placement visit <a target=""_blank"" href=""PLACEMENT INFORMATION LINK FROM YOUR UNIVERSITY WEBSITE IF THEY HAVE"">here</a>",placement
which companies visit in college,"To know about placement visit <a target=""_blank"" href=""PLACEMENT INFORMATION LINK FROM YOUR UNIVERSITY WEBSITE IF THEY HAVE"">here</a>",placement
what is average package,"To know about placement visit <a target=""_blank"" href=""PLACEMENT INFORMATION LINK FROM YOUR UNIVERSITY WEBSITE IF THEY HAVE"">here</a>",placement
companies visit,"To know about placement visit <a target=""_blank"" href=""PLACEMENT INFORMATION LINK FROM YOUR UNIVERSITY WEBSITE IF THEY HAVE"">here</a>",placement
package,"To know about placement visit <a target=""_blank"" href=""PLACEMENT INFORMATION LINK FROM YOUR UNIVERSITY WEBSITE IF THEY HAVE"">here</a>",placement
about placement,"To know about placement visit <a target=""_blank"" href=""PLACEMENT INFORMATION LINK FROM YOUR UNIVERSITY WEBSITE IF THEY HAVE"">here</a>",placement
placement,"To know about placement visit <a target=""_blank"" href=""PLACEMENT INFORMATION LINK FROM YOUR UNIVERSITY WEBSITE IF THEY HAVE"">here</a>",placement
recruitment,"To know about placement visit <a target=""_blank"" href=""PLACEMENT INFORMATION LINK FROM YOUR UNIVERSITY WEBSITE IF THEY HAVE"">here</a>",placement
companies,"To know about placement visit <a target=""_blank"" href=""PLACEMENT INFORMATION LINK FROM YOUR UNIVERSITY WEBSITE IF THEY HAVE"">here</a>",placement
who is hod,All engineering departments have only one hod XYZ who available on (Place name),ithod
where is hod,All engineering departments have only one hod XYZ who available on (Place name),ithod
it hod,All engineering departments have only one hod XYZ who available on (Place name),ithod
name of it hod,All engineering departments have only one hod XYZ who available on (Place name),ithod
who is computer hod,All engineering departments have only one hod XYZ who available on (PLACE NAME),computerhod
where is computer hod,All engineering departments have only one hod XYZ who available on (PLACE NAME),computerhod
computer hod,All engineering departments have only one hod XYZ who available on (PLACE NAME),computerhod
name of computer hod,All engineering departments have only one hod XYZ who available on (PLACE NAME),computerhod
who is extc hod,Different school wise hod are different.So be more clear with your school or department,extchod
where is  extc hod,Different school wise hod are different.So be more clear with your school or department,extchod
extc hod,Different school wise hod are different.So be more clear with your school or department,extchod
name of extc hod,Different school wise hod are different.So be more clear with your school or department,extchod
what is the name of principal,XYZ is college principal and if you need any help then call your branch hod first.That is more appropriate,principal
whatv is the principal name,XYZ is college principal and if you need any help then call your branch hod first.That is more appropriate,principal
principal name,XYZ is college principal and if you need any help then call your branch hod first.That is more appropriate,principal
who is college principal,XYZ is college principal and if you need any help then call your branch hod first.That is more appropriate,principal
where is principal's office,XYZ is college principal and if you need any help then call your branch hod first.That is more appropriate,principal
principal,XYZ is college principal and if you need any help then call your branch hod first.That is more appropriate,principal
name of principal,XYZ is college principal and if you need any help then call your branch hod first.That is more appropriate,principal
exam dates,"Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>",sem
exam schedule,"Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>",sem
when is semester exam,"Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>",sem
semester exam timetable,"Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>",sem
sem,"Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>",sem
semester,"Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>",sem
exam,"Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>",sem
when is exam,"Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>",sem
exam timetable,"Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>",sem
exam dates,"Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>",sem
when is semester,"Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>",sem
what is the process of admission,"Application can also be submitted online through the Unversity's  <a target=""_blank"" href=""LINK OF ADMISSION DOCUMENT"">website</a>",admission
what is the admission process,"Application can also be submitted online through the Unversity's  <a target=""_blank"" href=""LINK OF ADMISSION DOCUMENT"">website</a>",admission
how to take admission in your college,"Application can also be submitted online through the Unversity's  <a target=""_blank"" href=""LINK OF ADMISSION DOCUMENT"">website</a>",admission
what is the process for admission,"Application can also be submitted online through the Unversity's  <a target=""_blank"" href=""LINK OF ADMISSION DOCUMENT"">website</a>",admission
admission,"Application can also be submitted online through the Unversity's  <a target=""_blank"" href=""LINK OF ADMISSION DOCUMENT"">website</a>",admission
admission process,"Application can also be submitted online through the Unversity's  <a target=""_blank"" href=""LINK OF ADMISSION DOCUMENT"">website</a>",admission
scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",scholarship
is scholarship available,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",scholarship
scholarship engineering,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",scholarship
scholarship it,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",scholarship
scholarship ce,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",scholarship
scholarship mechanical,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",scholarship
scholarship civil,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",scholarship
scholarship chemical,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",scholarship
scholarship for ai/ml,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",scholarship
available scholarships,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",scholarship
scholarship for computer engineering,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",scholarship
scholarship for it engineering,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",scholarship
scholarship for mechanical engineering,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",scholarship
scholarship for civil engineering,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",scholarship
scholarship for chemical engineering,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",scholarship
list of scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",scholarship
comps scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",scholarship
it scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",scholarship
mechanical scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",scholarship
civil scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",scholarship
chemical scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",scholarship
automobile scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",scholarship
first year scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",scholarship
second year scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",scholarship
third year scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",scholarship
fourth year scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",scholarship
what facilities college provide,"Our university's Engineering department provides fully AC Lab with internet connection, smart classroom, Auditorium, library,canteen",facilities
college facility,"Our university's Engineering department provides fully AC Lab with internet connection, smart classroom, Auditorium, library,canteen",facilities
what are college facilities,"Our university's Engineering department provides fully AC Lab with internet connection, smart classroom, Auditorium, library,canteen",facilities
facilities,"Our university's Engineering department provides fully AC Lab with internet connection, smart classroom, Auditorium, library,canteen",facilities
facilities provided,"Our university's Engineering department provides fully AC Lab with internet connection, smart classroom, Auditorium, library,canteen",facilities
max number of students,"For IT, Computer and extc 60 per branch and seat may be differ for different department.",college intake
number of seats per branch,"For IT, Computer and extc 60 per branch and seat may be differ for different department.",college intake
number of seats in each branch,"For IT, Computer and extc 60 per branch and seat may be differ for different department.",college intake
maximum number of seats,"For IT, Computer and extc 60 per branch and seat may be differ for different department.",college intake
maximum students intake,"For IT, Computer and extc 60 per branch and seat may be differ for different department.",college intake
what is college intake,"For IT, Computer and extc 60 per branch and seat may be differ for different department.",college intake
how many stundent are taken in each branch,"For IT, Computer and extc 60 per branch and seat may be differ for different department.",college intake
seat allotment,"For IT, Computer and extc 60 per branch and seat may be differ for different department.",college intake
seats,"For IT, Computer and extc 60 per branch and seat may be differ for different department.",college intake
college dress code,ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER,uniform
college dresscode,ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER,uniform
what is the uniform,ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER,uniform
can we wear casuals,ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER,uniform
does college have an uniform,ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER,uniform
is there any uniform,ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER,uniform
uniform,ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER,uniform
what about uniform,ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER,uniform
do we have to wear uniform,ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER,uniform
what are the different committe in college,For the various committe in college contact this number: ADD NUMBER,committee
different committee in college,For the various committe in college contact this number: ADD NUMBER,committee
are there any committee in college,For the various committe in college contact this number: ADD NUMBER,committee
give me committee details,For the various committe in college contact this number: ADD NUMBER,committee
committee,For the various committe in college contact this number: ADD NUMBER,committee
how many committee are there in college,For the various committe in college contact this number: ADD NUMBER,committee
i love you,"I am not program for this, please ask appropriate query",random
will you marry me,"I am not program for this, please ask appropriate query",random
do you love me,"I am not program for this, please ask appropriate query",random
fuck,please use appropriate language,swear
bitch,please use appropriate language,swear
shut up,please use appropriate language,swear
hell,please use appropriate language,swear
stupid,please use appropriate language,swear
idiot,please use appropriate language,swear
dumb ass,please use appropriate language,swear
asshole,please use appropriate language,swear
fucker,please use appropriate language,swear
holidays,Academic calender is given to you by your class-soordinators after you join your respective classes,vacation
when will semester starts,Academic calender is given to you by your class-soordinators after you join your respective classes,vacation
when will semester end,Academic calender is given to you by your class-soordinators after you join your respective classes,vacation
when is the holidays,Academic calender is given to you by your class-soordinators after you join your respective classes,vacation
list of holidays,Academic calender is given to you by your class-soordinators after you join your respective classes,vacation
holiday in these year,Academic calender is given to you by your class-soordinators after you join your respective classes,vacation
holiday list,Academic calender is given to you by your class-soordinators after you join your respective classes,vacation
about vacations,Academic calender is given to you by your class-soordinators after you join your respective classes,vacation
about holidays,Academic calender is given to you by your class-soordinators after you join your respective classes,vacation
when is vacation,Academic calender is given to you by your class-soordinators after you join your respective classes,vacation
when is holidays,Academic calender is given to you by your class-soordinators after you join your respective classes,vacation
how long will be the vacation,Academic calender is given to you by your class-soordinators after you join your respective classes,vacation
sports and games,"Our university encourages all-round development of students and hence provides sports facilities in the campus. For more details visit<a target=""_blank"" href=/""(LINK IF HAVE)"">here</a>",sports
give sports details,"Our university encourages all-round development of students and hence provides sports facilities in the campus. For more details visit<a target=""_blank"" href=/""(LINK IF HAVE)"">here</a>",sports
sports infrastructure,"Our university encourages all-round development of students and hence provides sports facilities in the campus. For more details visit<a target=""_blank"" href=/""(LINK IF HAVE)"">here</a>",sports
sports facilities,"Our university encourages all-round development of students and hence provides sports facilities in the campus. For more details visit<a target=""_blank"" href=/""(LINK IF HAVE)"">here</a>",sports
information about sports,"Our university encourages all-round development of students and hence provides sports facilities in the campus. For more details visit<a target=""_blank"" href=/""(LINK IF HAVE)"">here</a>",sports
sports activities,"Our university encourages all-round development of students and hence provides sports facilities in the campus. For more details visit<a target=""_blank"" href=/""(LINK IF HAVE)"">here</a>",sports
please provide sports and games information,"Our university encourages all-round development of students and hence provides sports facilities in the campus. For more details visit<a target=""_blank"" href=/""(LINK IF HAVE)"">here</a>",sports
okk,I am glad I helped you,salutaion
okie,I am glad I helped you,salutaion
nice work,I am glad I helped you,salutaion
well done,I am glad I helped you,salutaion
good job,I am glad I helped you,salutaion
thanks for the help,I am glad I helped you,salutaion
thank you,I am glad I helped you,salutaion
its ok,I am glad I helped you,salutaion
thanks,I am glad I helped you,salutaion
good work,I am glad I helped you,salutaion
k,I am glad I helped you,salutaion
ok,I am glad I helped you,salutaion
okay,I am glad I helped you,salutaion
what can you do,I can answer to low-intermediate questions regarding college,task
what are the thing you can do,I can answer to low-intermediate questions regarding college,task
things you can do,I can answer to low-intermediate questions regarding college,task
what can u do for me,I can answer to low-intermediate questions regarding college,task
how u can help me,I can answer to low-intermediate questions regarding college,task
why i should use you,I can answer to low-intermediate questions regarding college,task
ragging,"We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging",ragging
is ragging practice active in college,"We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging",ragging
does college have any antiragging facility,"We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging",ragging
is there any ragging cases,"We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging",ragging
is ragging done here,"We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging",ragging
ragging against,"We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging",ragging
antiragging facility,"We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging",ragging
ragging juniors,"We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging",ragging
ragging history,"We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging",ragging
ragging incidents,"We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging",ragging
hod,"HODs differ for each branch, please be more specific like: (HOD it)",hod
hod name,"HODs differ for each branch, please be more specific like: (HOD it)",hod
who is the hod,"HODs differ for each branch, please be more specific like: (HOD it)",hod
mess timetable,"Timetable Link visit <a target=""_blank"" href=""https://lightningmcqueen-95.github.io/collage/index.html""> here</a>",Mess Timetable
what is the mess table,"Timetable Link visit <a target=""_blank"" href=""https://lightningmcqueen-95.github.io/collage/index.html""> here</a>",Mess Timetable
bus timetable,"Timetable Link visit <a target=""_blank"" href=""https://lightningmcqueen-95.github.io/collage/index.html""> here</a>",Mess Timetable
timetable,"Timetable Link visit <a target=""_blank"" href=""https://lightningmcqueen-95.github.io/collage/index.html""> here</a>",Mess Timetable
what is the timetable,"Timetable Link visit <a target=""_blank"" href=""https://lightningmcqueen-95.github.io/collage/index.html""> here</a>",Mess Timetable
what is the bus timetable,"Timetable Link visit <a target=""_blank"" href=""https://lightningmcqueen-95.github.io/collage/index.html""> here</a>",Mess Timetable
academic calander,"Timetable Link visit <a target=""_blank"" href=""https://lightningmcqueen-95.github.io/collage/index.html""> here</a>",Mess Timetable
